,Country,Blame Based,Fault Comment,Irreconcilable Differences,No Fault Comment,country,Legality,Fault Based,Mutual No Fault,Unilateral No Fault
110,Philippines,,,1950.0,Abolished,Philippines,Illegal (unless Muslim),Muslim marriages only,No,No
111,Poland,1965.0,Fault required,,,Poland,Legal,Yes,Determined by court,Determined by court
112,Portugal,1977.0,Fault required,2008.0,No fault,Portugal,Legal,No,Yes,One year separation
113,Puerto Rico,1970.0,Fault required,2020.0,No fault,,,,,
114,Qatar,2006.0,Favors men,,,,,,,
115,Romania,,,1993.0,No fault,Romania,Legal,Yes,Yes,Two year separation
116,Russia,1944.0,Fault required,1995.0,No fault,Russia,Legal,No,One month waiting time,Up to three months cool-down period
117,Rwanda,,,1988.0,Fault required,Rwanda,Legal,Yes,Two year separation,Two year separation
118,Saint Lucia,1973.0,Fault required,,,,,,,
119,Samoa,1961.0,Fault required,2010.0,No fault,,,,,
120,Sao Tome and Principe,1991.0,Fault required,,,,,,,
121,Senegal,1972.0,Favors men,,,,,,,
122,Serbia,,,1946.0,No fault,,,,,
123,Sierra Leone,1960.0,Fault required,2020.0,No fault,Sierra Leone,Legal,Yes,No,No
124,Slovakia,1963.0,Fault required,2005.0,No fault,Slovakia,Legal,No,Determined by court,Determined by court
125,Slovenia,,,1976.0,No fault,Slovenia,Legal,Yes,Yes,Determined by court
126,Somalia,1975.0,Favors men,,,,,,,
127,South Africa,1935.0,Fault required,1979.0,No fault,South Africa,Legal,Yes,One year separation,One year separation
128,South Korea,1948.0,Fault required,2005.0,Fault required,South Korea,Legal,Yes,Yes,No
129,South Sudan,2011.0,Favors men,,,,,,,
130,Spain,,,1980.0,No fault,Spain,Legal,No,Yes,Yes
131,Sudan,1991.0,Favors men,,,,,,,
132,Suriname,,,,,Suriname,Legal,Yes,No,No
133,Sweden,,,1973.0,No fault,Sweden,Legal,No,Yes,6 months reconsideration period
134,Switzerland,,,2000.0,No fault,Switzerland,Legal,No,Yes,Two year separation
135,Syria,1953.0,Favors men,,,,,,,
136,Tajikistan,,Favors men,,,,,,,
137,Tanzania,1971.0,Fault required,2019.0,No fault,Tanzania,Legal,Yes,No,No
138,Thailand,1924.0,Fault required,1991.0,No fault,Thailand,Legal,Yes,Yes,Three year separation
139,Timor-Leste,2011.0,Fault required,,,Timor-Leste,Legal,Yes,Yes,Three year separation
140,Togo,1992.0,Fault required,,,,,,,
141,Trinidad and Tobago,,,1982.0,No fault,,,,,
142,Tunisia,1954.0,Fault required,,,,,,,
143,Turkey,,,1988.0,No fault,Turkey,Legal,Yes,Yes,Determined by court
144,Turkmenistan,1969.0,Fault required,2002.0,No fault,,,,,
145,Tuvalu,,,1984.0,No fault,,,,,
146,Uganda,1995.0,Fault required,2000.0,No fault,Uganda,Legal,Yes,No,No
147,Ukraine,,,2002.0,No fault,,,,,
148,United Kingdom,1857.0,Fault required,1969.0,Fault required,United Kingdom,Legal,No,26+ weeks waiting period,26+ weeks waiting period
149,United States,,,1975.0,No fault,United States,Legal,Yes,"Minimum period of separation or lack of sexual relations in Alabama, Arkansas, Delaware, Georgia, Illinois, Kentucky, Louisiana, Maryland, North Carolina, Ohio, South Carolina, Vermont and Virginia","Minimum period of separation or lack of sexual relations in Alabama, Arkansas, Delaware, Georgia, Illinois, Kentucky, Louisiana, Maryland, North Carolina, Ohio, South Carolina, Vermont and Virginia"
150,Uruguay,1907.0,Fault required,1913.0,No fault,Uruguay,Legal,Yes,Three month separation,Two month separation
151,Uzbekistan,1998.0,Fault required,,,,,,,
152,Venezuela,1982.0,Fault required,,,Venezuela,Legal,Yes,One year separation,Five year separation
153,Vietnam,1986.0,Fault required,2014.0,No fault,Vietnam,Legal,Yes,Yes,Determined by court
154,Yemen,1991.0,Favors men,,,,,,,
155,Zambia,,,2007.0,No fault,Zambia,Legal,Yes,Two year separation,Five year separation
156,Zimbabwe,,,1986.0,No fault,Zimbabwe,Legal,Yes,One year separation,One year separation
